Coffee Shop Count,Hotel Count,Restaurant Count,Latitude,Longitude,Cluster Labels,Neighborhood,Borough
1,0,1,43.730570000000064,-79.31305999999995,0,Victoria Village,North York
4,0,1,43.65034000000003,-79.55361999999997,0,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",Etobicoke
2,0,2,43.696300000000065,-79.52925999999997,0,Westmount,Etobicoke
3,0,0,43.705070000000035,-79.51803999999998,0,Weston,York
1,0,0,43.75075000000004,-79.30053999999996,0,"Wexford, Maryvale",Scarborough
10,0,11,43.79182000000003,-79.41371999999996,0,"Willowdale, Newtonbrook",North York
14,1,6,43.76774000000007,-79.40727999999996,0,"Willowdale, Willowdale East",North York
1,0,0,43.77989000000007,-79.44677999999998,0,"Willowdale, Willowdale West",North York
2,0,3,43.76812000000007,-79.21760999999998,0,Woburn,Scarborough
9,0,2,43.689700000000066,-79.30681999999996,0,Woodbine Heights,East York
4,0,1,43.74778000000003,-79.40032999999994,0,York Mills West,North York
