,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
86,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,Oakham Café,43.658077944767534,-79.37831497990125
87,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051
88,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Japanese Restaurant,Kinka Izakaya Original,43.66059636632361,-79.37889120754515
89,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Thai Restaurant,Salad King,43.65760101432665,-79.38161963017174
90,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Mexican Restaurant,Chipotle Mexican Grill,43.65686,-79.38091
91,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Ramen Restaurant,Kinton Ramen,43.660631695006714,-79.37887964897601
93,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,New American Restaurant,JOEY Eaton Centre,43.6560936540828,-79.38187792357716
94,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fast Food Restaurant,Crepe Delicious,43.654536488277245,-79.38088885547485
95,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Gastropub,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917
96,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Steakhouse,Barberian's Steak House,43.65775512925926,-79.38217741375935
97,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fast Food Restaurant,Bourbon St. Grill,43.6551351410162,-79.3808225262395
98,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Modern European Restaurant,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513
99,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Ethiopian Restaurant,Ethiopiques,43.65651274304155,-79.377077748846
100,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719
101,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Italian Restaurant,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784
102,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Middle Eastern Restaurant,Kabul Express,43.65669146835466,-79.37664313658586
103,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Poutine Place,Smoke's Poutinerie,43.65737935238092,-79.37345459540276
104,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Middle Eastern Restaurant,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144
105,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Chinese Restaurant,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398
106,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Seafood Restaurant,Red Lobster,43.656328,-79.383621
107,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Italian Restaurant,Trattoria Mercatto,43.65445314470199,-79.3809741075674
108,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Sushi Restaurant,Spring Sushi,43.656252529816086,-79.38065954471074
109,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,Cafe de Melbourne,43.656087801489825,-79.38070487601242
110,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Falafel Restaurant,Milo's Pita,43.65626969248787,-79.38097430189029
111,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Thai Restaurant,Thai On Yonge,43.658607309508525,-79.38199875669441
112,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Middle Eastern Restaurant,Paramount Fine Foods,43.65502870847598,-79.38024513018975
113,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Diner,Fran's,43.65426474929814,-79.37912005538317
115,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Japanese Restaurant,KAKA,43.65745745164475,-79.38419169987876
116,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Italian Restaurant,Donatello Restaurant,43.657489310288014,-79.38360495100461
118,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,Second Cup,43.652980800725366,-79.3774078337122
119,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Vietnamese Restaurant,Fine Asian Bowl,43.6553866,-79.3803264
120,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Japanese Restaurant,Katsuya,43.65986035759321,-79.37878806223506
121,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Greek Restaurant,Jimmy The Greek,43.6545029224916,-79.38088785568989
122,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Caribbean Restaurant,Patties Express,43.657832414035745,-79.38183777062407
123,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Thai Restaurant,Bangkok Garden,43.6578702903203,-79.38283718957292
124,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Adega Restaurant,43.65751886446546,-79.38346181502347
125,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,Phoenix Café,43.657025134575115,-79.38164276139244
127,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Greek Restaurant,It's All Grk,43.65678120012301,-79.37682835542365
128,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fast Food Restaurant,A&W,43.655583,-79.381312
129,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Mediterranean Restaurant,Villa Madina Mediterranean Cuisine,43.65863563093122,-79.38204453549815
130,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fast Food Restaurant,Fit for Life,43.656160859715044,-79.3836044784079
131,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Falafel Restaurant,Pita Land,43.66025329859701,-79.37710715521973
132,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Chinese Restaurant,Good View Chinese Restaurant,43.656791249922385,-79.37613917916755
135,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Middle Eastern Restaurant,Villa Madina (at Urban Eatry),43.655516867999594,-79.38123637218324
137,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Hendricks Restaurant & Bar,43.65341542752959,-79.37969842137554
140,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fried Chicken Joint,Hot Star Large Fried Chicken,43.65880844786959,-79.3820352603718
141,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Asian Restaurant,Basil Box,43.65774644233037,-79.38162767228032
146,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Harvey's,43.660483751379054,-79.37619110160665
148,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Sushi Restaurant,Michi Roll and Sushi,43.657136952133385,-79.37826196080671
149,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Middle Eastern Restaurant,The PomAnar,43.65618,-79.378218
150,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Japanese Restaurant,Kyoto Katsugyu,43.656757,-79.376119
151,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Falafel Restaurant,The Hummusiah,43.657081,-79.37858
153,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Halal Restaurant,laziz curry kitchen,43.656776,-79.375454
154,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Maggies Eatery,43.658646,-79.375439
155,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Café,NOW Lounge,43.655309558364905,-79.37651421059519
156,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fast Food Restaurant,McDonald's,43.659753,-79.38202
158,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,Casey's Outdoor Patio,43.65711973654087,-79.374302916559
159,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Restaurant,City Kitchen,43.65401783830981,-79.37982648714211
160,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Fried Chicken Joint,Cheers Cut Taiwanese Grilled & Fried,43.658702,-79.382075
161,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Sushi Restaurant,Citrus,43.65625898415151,-79.37380950575493
164,"Garden District, Ryerson",43.65739000000008,-79.37803999999993,Chinese Restaurant,Neighbor Wang | 隔壁老王,43.661526,-79.37885
167,Glencairn,43.70687000000004,-79.44811999999995,Latin American Restaurant,Columbus Colombian Bakery (Panaderia Colombiana),43.709172692546765,-79.45333079398473
168,Glencairn,43.70687000000004,-79.44811999999995,Japanese Restaurant,Miyako Sushi Restaurant,43.709111,-79.44393
170,Glencairn,43.70687000000004,-79.44811999999995,Mediterranean Restaurant,Darosa,43.706969836937915,-79.453120889328
171,Glencairn,43.70687000000004,-79.44811999999995,Sushi Restaurant,Kokoro Sushi,43.7090306314996,-79.44405331675999
173,Glencairn,43.70687000000004,-79.44811999999995,Asian Restaurant,Li Cheng Restaurant,43.70882792296303,-79.44336647383521
175,Glencairn,43.70687000000004,-79.44811999999995,Italian Restaurant,Bologna Pastificio,43.708301109895565,-79.4533224471215
177,Glencairn,43.70687000000004,-79.44811999999995,Italian Restaurant,CINQUElire,43.708497217747784,-79.45371253229237
182,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65034000000003,-79.55361999999997,Chinese Restaurant,Far East Chinese Food,43.649243794114106,-79.54886564950132
183,Don Mills,43.72168000000005,-79.34351999999996,Cuban Restaurant,L5 Cafeteria,43.723019,-79.345012
184,Don Mills,43.72168000000005,-79.34351999999996,Cafeteria,Kitchen@AP,43.725491,-79.344346
185,Don Mills,43.72168000000005,-79.34351999999996,Sushi Restaurant,Bento Sushi,43.7222654378451,-79.33763065552684
187,Woodbine Heights,43.689700000000066,-79.30681999999996,Middle Eastern Restaurant,Sultan Shawarma & Falafel,43.68822334940596,-79.30170939352254
190,Woodbine Heights,43.689700000000066,-79.30681999999996,Café,Pavillion Pastries,43.688560652640675,-79.30191525698254
192,Woodbine Heights,43.689700000000066,-79.30681999999996,Café,Time Capsule,43.68627418203743,-79.31040748827184
193,Woodbine Heights,43.689700000000066,-79.30681999999996,Fast Food Restaurant,KFC,43.6881,-79.3029
194,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,GEORGE Restaurant,43.65334645635036,-79.3744449051126
195,St. James Town,43.65215000000007,-79.37586999999995,Japanese Restaurant,Gyu-Kaku Japanese BBQ,43.651422275497914,-79.37504693687086
196,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Terroni,43.650927,-79.375602
197,St. James Town,43.65215000000007,-79.37586999999995,Gastropub,Pearl Diver,43.651481290733734,-79.37359954211877
198,St. James Town,43.65215000000007,-79.37586999999995,Gastropub,Hawthorne Food and Drink,43.652270129568336,-79.37631758327606
199,St. James Town,43.65215000000007,-79.37586999999995,Middle Eastern Restaurant,Mystic Muffin,43.652483550499326,-79.37265472845176
200,St. James Town,43.65215000000007,-79.37586999999995,Japanese Restaurant,NAMI,43.650853361785124,-79.37588746641697
201,St. James Town,43.65215000000007,-79.37586999999995,Creperie,Crepe TO,43.650063279511016,-79.37458664523871
202,St. James Town,43.65215000000007,-79.37586999999995,American Restaurant,Richmond Station,43.65156872562108,-79.37926594000328
203,St. James Town,43.65215000000007,-79.37586999999995,Poke Place,The Poké Box,43.65046931503178,-79.37631703952829
204,St. James Town,43.65215000000007,-79.37586999999995,Café,Dineen Coffee,43.650497,-79.378765
205,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Portico,43.651855687900124,-79.37805540906518
208,St. James Town,43.65215000000007,-79.37586999999995,Latin American Restaurant,Leña,43.651722,-79.379205
209,St. James Town,43.65215000000007,-79.37586999999995,New American Restaurant,The Chase,43.650951982093595,-79.37942201983014
210,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Carbon Bar,43.65336708689279,-79.37496515174824
211,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Carisma,43.64961671774303,-79.3754337751762
212,St. James Town,43.65215000000007,-79.37586999999995,Italian Restaurant,Mirto,43.650702,-79.376307
213,St. James Town,43.65215000000007,-79.37586999999995,Gastropub,Beerbistro,43.64941904378835,-79.37723726034164
214,St. James Town,43.65215000000007,-79.37586999999995,Diner,The George Street Diner,43.65297,-79.371467
215,St. James Town,43.65215000000007,-79.37586999999995,Café,The Poet Cafe,43.65063683072023,-79.37127573699792
216,St. James Town,43.65215000000007,-79.37586999999995,Thai Restaurant,Sukhothai,43.64848710249909,-79.37454735245633
217,St. James Town,43.65215000000007,-79.37586999999995,Café,Café Plenty,43.6491179354577,-79.37831288380438
218,St. James Town,43.65215000000007,-79.37586999999995,Molecular Gastronomy Restaurant,Woods Restaurant & Bar,43.6493568159853,-79.37500248445933
220,St. James Town,43.65215000000007,-79.37586999999995,Vegetarian / Vegan Restaurant,Fresh On Front,43.64781466405137,-79.3744527618627
221,St. James Town,43.65215000000007,-79.37586999999995,Indian Restaurant,Bombay Palace,43.65117354457489,-79.37213984452025
222,St. James Town,43.65215000000007,-79.37586999999995,Seafood Restaurant,John & Sons Oyster House,43.65065642537144,-79.38161285228475
223,St. James Town,43.65215000000007,-79.37586999999995,German Restaurant,Schnitzel Queen,43.65423906004429,-79.37053284604036
224,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,Victoria's Restaurant,43.64929834396347,-79.37643067251867
226,St. James Town,43.65215000000007,-79.37586999999995,Restaurant,The Works Gourmet Burger Bistro,43.648742,-79.374142
227,St. James Town,43.65215000000007,-79.37586999999995,Fast Food Restaurant,Crepe Delicious,43.654536488277245,-79.38088885547485
228,St. James Town,43.65215000000007,-79.37586999999995,Ramen Restaurant,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793
230,St. James Town,43.65215000000007,-79.37586999999995,Diner,The Senator Restaurant,43.65564091455335,-79.37919882575557
231,St. James Town,43.65215000000007,-79.37586999999995,Seafood Restaurant,John & Sons Oyster House,43.65060229830571,-79.38155510682869
232,St. James Town,43.65215000000007,-79.37586999999995,American Restaurant,The Gabardine,43.65098801064232,-79.38122513218154
235,St. James Town,43.65215000000007,-79.37586999999995,Asian Restaurant,Sweet Lulu,43.65055650489936,-79.38117543224395
