Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Le Papillon on Front,43.64846271478169,-79.37333196401595
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,St. Lawrence Pizza and Pasta,43.64837838784134,-79.37157761069746
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,The Hot House Restaurant & Bar,43.64882370529773,-79.37370210886002
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Churrasco St. Lawrence,43.64875419613792,-79.37163366340684
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Oyshi Sushi,43.64234005516476,-79.37585304260914
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,"Oliver & Bonacini Café Grill, Yonge and Front",43.64714379216559,-79.3769382034035
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Barsa Taberna,43.64894895240844,-79.37211648804114
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Uncle Tony's Pizza and Pasta,43.648286905349515,-79.37500477402445
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Cruda Cafe,43.64877310830165,-79.37161409997344
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Yianni's Kitchen,43.648543943355286,-79.37157615607657
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Paramount Fine Foods,43.648956533823174,-79.37238211392412
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Ichiban Sushi,43.648590999999996,-79.374284
Berczy Park,43.64536000000004,-79.37305999999995,Restaurant,Pick 6ix,43.647645480979605,-79.37726694070217
Caledonia-Fairbanks,43.68784000000005,-79.45045999999995,Restaurant,Rebozos,43.68477300934671,-79.44958805834105
Caledonia-Fairbanks,43.68784000000005,-79.45045999999995,Restaurant,Taberna da Minhota,43.68724372583385,-79.44682810996406
Caledonia-Fairbanks,43.68784000000005,-79.45045999999995,Restaurant,Bubby's Bagels,43.6853375491126,-79.44710209965706
Woburn,43.76812000000007,-79.21760999999998,Restaurant,"El rey del cabrito, monterrey city mexico",43.7688,-79.2198
Woburn,43.76812000000007,-79.21760999999998,Restaurant,Al-Hamd Biryani & Pizza,43.76758463973194,-79.21956957790067
Woburn,43.76812000000007,-79.21760999999998,Restaurant,Korean Grill House,43.770811729135396,-79.21450208834013
Leaside,43.709020000000066,-79.36348999999996,Restaurant,The Leaside Pub,43.7104676,-79.36384770000001
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Kintako Japanese Restaurant,43.711596592510936,-79.36396207124376
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Mucho Burrito Fresh Mexican Grill,43.706746,-79.361707
Leaside,43.709020000000066,-79.36348999999996,Restaurant,Maki Sushi,43.71012655325973,-79.3624657192103
Leaside,43.709020000000066,-79.36348999999996,Restaurant,ND sushi and grill,43.711486,-79.363887
